"","logFC","logCPM","LR","PValue","FDR"
"hsa-miR-4326",0.474587076389447,7.58096643892004,5.54160287728055,0.01856956682715,0.0492131729904717
"hsa-miR-148a-3p",0.799276003071688,6.18481061959781,5.440457073919,0.0196755200541526,0.0519304709625996
"hsa-miR-500a-5p",-1.22156744389796,3.90647550988465,5.40425592843723,0.020087709921426,0.0528019803648912
"hsa-miR-92a-1-5p",-0.526403876850833,7.33577324142049,5.39097185729426,0.0202411944352593,0.0529891431557195
"hsa-miR-758-3p",-2.40923365991266,2.3670123891973,5.35790233482434,0.0206285721319175,0.0537846172184408
"hsa-miR-548x-3p",-2.40810288471286,2.36783950297634,5.33946341566489,0.0208478893088191,0.0540197129546887
"hsa-miR-186-5p",0.463531670111449,9.93339835554843,5.33623771338852,0.0208865039219216,0.0540197129546887
"hsa-miR-1226-5p",1.19272195830295,3.53437478689679,5.31686276600936,0.0211200025916997,0.0544051266762185
"hsa-miR-2278",2.44991871234555,1.96648099821303,5.30575469599257,0.021255089322677,0.0545349702143585
"hsa-miR-532-5p",0.364042643176807,10.3464985300244,5.28692650615609,0.0214861081171915,0.054908942966156
"hsa-miR-548ae-3p",-2.52431263415644,2.42568394829701,5.21069224804137,0.0224483949455134,0.057141368952216
"hsa-miR-3177-3p",0.806253042525367,4.46737771068715,5.17421502881125,0.0229245270892698,0.0581236041161013
"hsa-miR-1304-5p",0.551912944133884,6.98342334754128,5.156449359609,0.0231601985616555,0.0584908544066907
"hsa-miR-542-3p",-1.55006126733066,3.0328331600937,5.14720859602378,0.0232837740507519,0.0585649027885626
"hsa-miR-7976",-1.26992146674384,3.81552834158572,5.14068702022811,0.0233713975413984,0.0585649027885626
"hsa-miR-31-3p",-0.535981286801857,6.05965106293199,5.10706326947813,0.0238286218361904,0.059479195591111
"hsa-miR-378b",-1.60503391259163,3.06203820691885,5.08050385861844,0.0241963374112893,0.0598163046987359
"hsa-miR-1290",2.62725989825682,1.72680921471505,5.07865622894631,0.0242221359033262,0.0598163046987359
"hsa-miR-6511b-3p",1.72388223688138,2.29538922938082,5.07721195204082,0.0242423222459163,0.0598163046987359
"hsa-miR-152-3p",-0.921345366555171,4.79772969318832,5.02534064711976,0.0249790115901258,0.0613987918474848
"hsa-miR-6772-3p",-2.41560731564269,2.36897230966366,4.95847011913459,0.0259631675661054,0.0635752087930489
"hsa-miR-92b-5p",0.472906415806217,7.27071329765618,4.93417740824049,0.0263305922218812,0.0641506745432567
"hsa-miR-378d",-0.454711968791216,7.02514209321832,4.92979788167688,0.0263974048974581,0.0641506745432567
"hsa-miR-502-3p",-0.6323413031128,5.55035558813628,4.91835845292091,0.0265727537191625,0.0643340353200778
"hsa-miR-6505-5p",-2.40896598506362,2.36985038575385,4.90075219674282,0.0268449998763989,0.0647497375295914
"hsa-let-7f-2-3p",-1.55326062002644,3.03549177000688,4.8870953717455,0.0270581720219671,0.0650203835154731
"hsa-miR-129-1-3p",1.82523914562202,2.17343348710243,4.79043306708732,0.0286182303533844,0.0681637000191187
"hsa-miR-5088-5p",2.20256602053573,1.89163107639137,4.78665186806644,0.0286811258058932,0.0681637000191187
"hsa-miR-6763-5p",2.20252506051905,1.89320856547569,4.78649170918186,0.0286837930204676,0.0681637000191187
"hsa-miR-296-3p",-0.485887095613652,8.51906605983719,4.7500786484417,0.0292969553642382,0.0693648502006227
"hsa-miR-33b-3p",-1.44304701357368,3.64015368488594,4.53129220478575,0.0332804789540373,0.0785077965069599
"hsa-miR-92a-3p",-0.308839251596964,14.5830867024571,4.49623312418404,0.0339696054731531,0.079840970528141
"hsa-miR-877-3p",-0.927952360200633,4.17746774241781,4.48656871608751,0.034162180412712,0.0800016152210418
"hsa-miR-30e-5p",-0.324699504744648,10.5755648951941,4.47328665203108,0.0344287051180308,0.0803336452754052
"hsa-miR-374b-5p",-0.471058243969897,7.18917593224496,4.46454623504654,0.0346052799400727,0.0804541526404579
"hsa-miR-6881-3p",-1.82608720845503,2.57049714426204,4.4489334145832,0.0349230520651057,0.0806221295122885
"hsa-miR-6851-5p",1.6336698251934,2.40203046977843,4.44869588120519,0.0349279101458517,0.0806221295122885
"hsa-miR-500b-3p",-1.22663572655896,3.55832577401465,4.43629846807121,0.0351824481704026,0.080919630791926
"hsa-miR-221-3p",-0.378995906524791,13.1697550460512,4.4025993626478,0.0358841966687321,0.0822399382728237
"hsa-let-7i-5p",0.368848485762963,14.5944826562333,4.35771970343126,0.0368415886636238,0.0841346918417509
"hsa-miR-4504",-1.24061216709525,3.25435964944052,4.34382522144257,0.0371433839257081,0.0845241669546148
"hsa-miR-181d-5p",0.748822227955,4.37533136044334,4.24836741781273,0.0392880819376461,0.088929074355839
"hsa-miR-20b-5p",-1.34034250259532,3.1264026788061,4.24335911609856,0.0394041306269678,0.088929074355839
"hsa-miR-485-5p",1.78062778862185,2.45386545869002,4.2281105895342,0.0397596777354227,0.088929074355839
"hsa-miR-485-3p",-2.19671950115005,2.25814767316708,4.22769034904817,0.0397695239355305,0.088929074355839
"hsa-miR-4690-5p",-2.19671950115005,2.25814767316708,4.22769034904817,0.0397695239355305,0.088929074355839
"hsa-miR-18a-5p",-0.476428906058375,6.16225133171054,4.17324027661702,0.0410671885198199,0.0915130429299793
"hsa-miR-6073",1.9448744979693,2.03534269435641,4.14425052403202,0.0417761450517043,0.0927718531493019
"hsa-miR-4791",-0.532590648410196,6.00499000444477,4.11079237030323,0.0426103944162513,0.0942992921101918
"hsa-miR-455-3p",-0.39700993245257,8.36325094119207,4.07757382488046,0.0434560135620081,0.0958413449792234
"hsa-miR-1287-5p",0.979186830121427,3.41750127202253,3.98494646388911,0.0459085595649781,0.100904820340771
"hsa-miR-429",-0.376204019736997,7.66993401293147,3.94278070899502,0.0470729059299237,0.103112079656023
"hsa-miR-548am-3p",-1.08169455708737,3.5980264099205,3.91772428166022,0.0477795168398808,0.104305114728418
"hsa-miR-577",-1.07738301919159,3.69276001068758,3.89474000756487,0.0484375357640834,0.105384368351587
"hsa-miR-1296-5p",0.737202512658528,5.22256175600992,3.8816273541747,0.0488172179616118,0.105852822785448
"hsa-miR-1304-3p",0.453381591469769,7.68493322030862,3.87296930974421,0.0490696364800885,0.106043107024084
"hsa-miR-1237-3p",1.53726132362523,2.22594090409689,3.76749401597008,0.0522578706836221,0.112311930924758
"hsa-miR-628-3p",1.25104997694874,2.60018729022886,3.76553167356304,0.0523192224804772,0.112311930924758
"hsa-miR-1468-5p",0.759947711514399,4.91171645710876,3.62847262472373,0.0567989203094237,0.121367478641649
"hsa-miR-4454",0.82428647462413,3.95844731554809,3.62508797399401,0.0569145629654939,0.121367478641649
"hsa-miR-137-3p",-1.07239818859029,3.46429663810166,3.56322446993997,0.0590728836237014,0.12555424770186
"hsa-miR-550a-5p",0.652170671797794,5.18357273790408,3.48541466236065,0.0619118486635089,0.131155363616118
"hsa-miR-196a-5p",0.741731603633015,4.04832694849876,3.4113348532418,0.0647500494495708,0.136718137198438
"hsa-miR-629-5p",0.315733370594084,9.51151422549007,3.33549341968487,0.0678000681697038,0.142690339546697
"hsa-miR-4745-3p",1.71990588136387,1.96765902476201,3.32361136902264,0.068291662220015,0.143256776774233
"hsa-miR-889-3p",-2.05264456243537,2.19970757420326,3.28924148538437,0.0697352306071968,0.14581002763323
"hsa-miR-125b-1-3p",-0.272556512172664,10.5996660676922,3.2784912052584,0.0701934311302222,0.146293105656515
"hsa-miR-548e-3p",-0.907242294212138,3.71523002135442,3.26911019414822,0.0705959048808845,0.146657299171902
"hsa-miR-1276",1.71603955115904,1.96267627855267,3.25264086858664,0.0713084805193624,0.147661290850384
"hsa-miR-199a-5p",-0.394174877469754,6.48320064899369,3.23622532314225,0.0720264047225782,0.148669886670963
"hsa-miR-548q",1.7240764542751,1.96623466088929,3.21176064375145,0.0731107723361533,0.150425998033491
"hsa-miR-149-5p",0.520959679922913,5.37294473089865,3.1726498805743,0.0748808636843603,0.153577312779389
"hsa-miR-200c-3p",0.773704278851808,3.76537988283038,3.11860089218905,0.0774032168065157,0.15824657658221
"hsa-miR-4709-5p",1.90888814306676,1.81306772496527,3.07697469092521,0.079408105616185,0.161831708913997
"hsa-miR-449c-5p",-1.36982112676842,2.65992652125455,3.06107453042859,0.0801886245005166,0.162201294639972
"hsa-miR-6515-5p",1.40575584186311,2.55410886587294,3.06033755544052,0.0802250016057421,0.162201294639972
"hsa-miR-219a-1-3p",0.391390049972844,6.41831780218229,3.05790798666,0.0803450512269427,0.162201294639972
"hsa-miR-6721-5p",1.25197229418074,2.50740615446297,3.03076777127276,0.0816993483602807,0.164419938575065
"hsa-miR-331-3p",0.415712054068039,6.92095196861895,3.00941283198745,0.0827822730962445,0.166080323594958
"hsa-miR-6877-5p",-1.37610237115295,2.66413728879269,2.97888738230587,0.0843572433604422,0.168714486720884
"hsa-miR-664a-5p",0.788232286216767,3.60794957082005,2.92145055441149,0.0874092551145662,0.173865527406424
"hsa-miR-6511b-5p",1.14989216807406,3.11380196905449,2.92027936153072,0.0874727187572694,0.173865527406424
"hsa-miR-4473",-0.588513122949418,5.16492747740125,2.85286953556543,0.0912110038160468,0.180346598679314
"hsa-miR-34a-5p",-0.436682463240218,6.47339192291713,2.85069780355555,0.0913342862210634,0.180346598679314
"hsa-miR-548h-5p",-0.458617596026914,5.87172534049151,2.84649279803949,0.0915735058511423,0.180346598679314
"hsa-miR-660-5p",-0.470694543418702,5.4962266284855,2.83951833452939,0.0919717795789562,0.180578737953804
"hsa-let-7a-2-3p",-0.702299340042352,4.53200639350397,2.82593491509005,0.0927528672990757,0.181558804074787
"hsa-miR-195-3p",-1.15428503862375,3.0018359449604,2.79735274161907,0.0944200845355089,0.183967547937444
"hsa-miR-29b-3p",-0.379724140023922,9.17774595545285,2.79506810437078,0.0945547490175371,0.183967547937444
"hsa-miR-582-3p",-0.956744110037729,3.39178450132498,2.71356108078234,0.0994986558456084,0.193003416760758
"hsa-miR-6874-3p",1.69756500544328,1.96364710941926,2.69220433739756,0.100840222978165,0.195018329122937
"hsa-miR-301b-3p",0.992909250692917,2.85495338848993,2.68261846152942,0.10144879462685,0.195607855508058
"hsa-miR-4677-5p",-0.67246830974773,4.5467297394878,2.63413141491577,0.104589245830304,0.20106111735736
"hsa-miR-181a-5p",0.271308090014369,10.4197926210268,2.59105074269193,0.107469019700605,0.205674954004801
"hsa-miR-654-5p",0.805928011200014,3.24129809283834,2.58870880749957,0.10762804270127,0.205674954004801
"hsa-miR-188-5p",-1.45116362520909,2.37472803189834,2.5799118065706,0.108227691957249,0.206129790176664
"hsa-miR-3146",1.32248270876911,2.16584655003893,2.57584407334247,0.108506209425294,0.206129790176664
"hsa-miR-191-3p",-0.885813904786436,3.88553675922052,2.56538401918814,0.109226031096876,0.206886953018788
"hsa-miR-130a-3p",0.418674162438444,6.32646164587539,2.56061363608967,0.10955605183097,0.20690351137579
"hsa-miR-93-3p",-0.493915707473833,5.27349201989519,2.55373993274226,0.110033511914886,0.20719760723154
"hsa-miR-339-3p",0.419391665227678,5.67535505741916,2.54683938334665,0.110515139220205,0.207497812413447
"hsa-miR-200b-5p",-0.336064456709761,6.75839350519372,2.51397350109048,0.112841089782108,0.211249016917668
"hsa-miR-1273c",1.09766262008734,2.45188864697279,2.45962408135083,0.116806734018506,0.217958222823156
"hsa-miR-26a-2-3p",-0.916230552411359,3.50662182820804,2.4544893654097,0.117189273341256,0.217958222823156
"hsa-miR-10526-3p",0.807423854877999,3.69643428727061,2.44766230348854,0.117700038973132,0.217958222823156
"hsa-miR-3144-3p",-0.62838714245756,4.43119285812981,2.44661424424732,0.117778666991395,0.217958222823156
"hsa-miR-501-3p",-0.338025236961688,6.45312181288585,2.43758409562915,0.118458541997151,0.218588255146605
"hsa-miR-495-3p",0.737122143726148,3.58391694374653,2.41731310217951,0.120000599785104,0.220354666296552
"hsa-miR-10401-5p",1.30934274482304,2.55259709754618,2.41601456920625,0.120100136444239,0.220354666296552
"hsa-miR-3691-5p",0.649080795835834,4.17584519587612,2.39764523099081,0.121518044240702,0.22232278548583
"hsa-miR-323a-3p",-0.814561019874247,3.89011843593242,2.35359963606513,0.124994084606675,0.228034533956653
"hsa-miR-551b-5p",-1.13360840743679,2.78106317926125,2.33272555895723,0.126679898286467,0.230457216091764
"hsa-miR-148b-5p",-0.383924001953401,5.96231724187016,2.3260165210451,0.127227084280531,0.230800682469469
"hsa-miR-6515-3p",1.35884432093959,2.0368311984691,2.28926726320257,0.130271410640556,0.235659518125051
"hsa-miR-3609",1.03688270810323,2.82183571595479,2.26350073246417,0.132454342245052,0.238937244834211
"hsa-miR-4286",0.915952645109596,3.37493538334932,2.23320434328314,0.135073462821369,0.242981313008273
"hsa-miR-6724-5p",-0.911250490374541,3.68118771259428,2.22411294626521,0.135870672884056,0.243734577541316
"hsa-miR-30b-3p",-0.557954266896049,4.830028104427,2.2087373644071,0.13723094930709,0.245028514546287
"hsa-miR-6789-3p",-1.11551015048341,2.78225100728355,2.20672227330795,0.13741035218112,0.245028514546287
"hsa-miR-425-3p",0.461866903063052,5.56342753414281,2.20310093499172,0.137733419667323,0.245028514546287
"hsa-miR-3187-3p",-0.73820876145984,3.79432159088065,2.12413658700938,0.144994467034887,0.257235363004042
"hsa-miR-4429",1.31327755861222,2.16206731826072,2.0981673495353,0.147475809368794,0.260918739652481
"hsa-miR-342-3p",0.321067430511419,7.09599153735419,2.05935203537991,0.151274484918905,0.266906214487054
"hsa-miR-3127-5p",1.33465813429721,2.15901231829685,2.0478887154992,0.152417426394195,0.268188039884868
"hsa-miR-1303",-0.315895433123592,7.1033110181,2.03769967718991,0.153441532833379,0.268901351502038
"hsa-miR-1293",1.0383110852759,2.97008176989306,2.03555670911676,0.153657915144022,0.268901351502038
"hsa-miR-767-3p",0.989787071749795,2.96862736407969,2.0111371916252,0.15614823480858,0.272518870506032
"hsa-miR-1269b",-0.285961806641962,7.60170028287163,2.00206192620092,0.157085392144137,0.273413493353579
"hsa-miR-4786-5p",1.41108290190719,1.88787838684122,1.98436163884778,0.158931670295902,0.275881389947604
"hsa-miR-1267",-1.33158918039667,2.3156068975264,1.960414295659,0.161469017226491,0.279532384660915
"hsa-miR-579-5p",-1.10103731403149,2.96755693539471,1.94455909180713,0.163174368905705,0.281265299451105
"hsa-miR-3129-3p",1.10758013022595,2.33840632184267,1.94299682723133,0.163343512414151,0.281265299451105
"hsa-miR-501-5p",-0.499418399307125,4.68239686111057,1.9335854518616,0.16436671167337,0.282272432847068
"hsa-miR-625-5p",0.530419636898948,4.5492491670225,1.92105127966386,0.165740814235659,0.283420550844271
"hsa-miR-29c-3p",0.694934252802451,3.69389366535491,1.91946684721316,0.165915446689892,0.283420550844271
"hsa-miR-4659a-3p",-1.03801617654074,3.09671307576144,1.88574022062975,0.169683165926286,0.289089838244783
"hsa-miR-127-3p",-1.05254731431146,3.6415602412142,1.86717826396783,0.171798606613728,0.291673150439939
"hsa-miR-423-3p",0.197245640251908,12.4939484059285,1.86450919714347,0.172105275104312,0.291673150439939
"hsa-miR-1277-5p",-0.810484619701537,3.43374161326782,1.85151235651479,0.173607600753342,0.292286052789821
"hsa-miR-548g-5p",-0.912940726455892,3.06428298057374,1.84955305388635,0.173835385786308,0.292286052789821
"hsa-miR-548ah-3p",-0.619529567361475,4.12746563234828,1.8474206538934,0.174083685829855,0.292286052789821
"hsa-miR-636",1.08231089916432,2.22716249820817,1.84506754976772,0.174358159008622,0.292286052789821
"hsa-miR-543",-0.578491462831252,4.90678100833039,1.84183328292416,0.174736227211306,0.292286052789821
"hsa-miR-130a-5p",0.76574051127225,3.10758256023364,1.80249404909845,0.179411268715723,0.299311655598528
"hsa-miR-590-3p",-0.891288128223813,3.61572176738424,1.79873208566687,0.179865855150047,0.299311655598528
"hsa-miR-138-1-3p",1.09866935972298,2.54383975535867,1.78145060656645,0.181971301155479,0.302034840062187
"hsa-miR-378f",-0.369364689550009,5.73671958267904,1.75617097582345,0.185102831694244,0.306442734218749
"hsa-miR-548k",-0.61806734166544,4.12134861221849,1.74006400778542,0.187130716736746,0.309005593790934
"hsa-miR-3174",-0.514093958995825,4.30647726465101,1.73282995082582,0.188049889825242,0.309729230300398
"hsa-miR-6866-5p",0.848749984485229,2.73131911511563,1.72767163863067,0.188708524141015,0.310021146803096
"hsa-miR-6511a-3p",0.896017917071624,2.90289718034066,1.71082165447881,0.190878799732589,0.312788669281901
"hsa-miR-3922-5p",0.931042856440196,2.50392259496392,1.69527492170532,0.192907075444156,0.315310042096539
"hsa-let-7f-1-3p",-1.21875152828796,2.26534057539674,1.66233173033392,0.197288792185278,0.321655651056504
"hsa-miR-548u",-0.62175362411026,3.81525460751987,1.65417977749741,0.198390994445298,0.32226720056442
"hsa-miR-365b-3p",-0.393110500424897,5.18925909942537,1.65216353272062,0.198664718360364,0.32226720056442
"hsa-miR-3940-3p",-0.979384072367322,2.70974185764637,1.64104210941849,0.200182546528005,0.32391346724632
"hsa-miR-744-3p",-1.22357225906838,2.26827644996315,1.61053787268881,0.204416210264808,0.329934935866007
"hsa-miR-329-3p",-0.975746793594629,2.70016961391474,1.59802829258055,0.206182854363781,0.331954395525688
"hsa-miR-378a-3p",-0.215423734423477,13.9297196986843,1.58363035102195,0.208238544770328,0.334427987112448
"hsa-miR-1271-5p",-0.311206884523557,6.21419230073804,1.56340207728099,0.211167785196249,0.3382886907124
"hsa-miR-365a-3p",-0.453415656336535,5.05857794941162,1.55432965625206,0.212497402860894,0.338570857798689
"hsa-miR-151a-3p",0.183416225045469,14.5215369005981,1.55258174453343,0.212754709832192,0.338570857798689
"hsa-let-7d-3p",-0.471020234959115,4.87595608153306,1.55080982523114,0.213015928557872,0.338570857798689
"hsa-miR-3689e",0.229200645189732,7.9958239367123,1.54789243014437,0.213446845133956,0.338570857798689
"hsa-miR-3128",1.07020850054781,2.10099400220448,1.5373068991283,0.215019113370174,0.340226803465337
"hsa-miR-126-5p",0.540059562030882,3.98807073276526,1.50159161789585,0.220426627841129,0.347928304729625
"hsa-miR-30b-5p",-0.29630225266018,6.19268172035768,1.48052605100875,0.223692234881442,0.351664191875037
"hsa-miR-379-5p",-0.366965600169809,5.11368502528814,1.47929034133178,0.223885587994977,0.351664191875037
"hsa-miR-3173-5p",-0.655805997426737,3.85829807348319,1.45534002603316,0.227673029197623,0.356743140640558
"hsa-miR-98-5p",0.262522845114377,6.70486909546551,1.41664240155428,0.233956838795684,0.365699524719467
"hsa-miR-939-5p",0.793247023868697,2.54730030558843,1.40136604908891,0.236494983379746,0.368771838490452
"hsa-miR-1278",-0.425729714085905,4.699569223199,1.39142251386841,0.23816501795277,0.37047891681542
"hsa-miR-642b-5p",1.09189455188052,2.09966039010442,1.3436711064203,0.246387597370155,0.382346054714168
"hsa-miR-17-3p",-0.506577830410105,4.0616837013239,1.33344437591305,0.248193382924077,0.384222448565158
"hsa-miR-4425",0.876849804507699,2.28638249619324,1.27075396268664,0.259625284666922,0.400956075121098
"hsa-miR-1294",0.672920657755039,3.14283845930133,1.26337471590932,0.26101326827172,0.402135274562171
"hsa-miR-499a-5p",0.78256483796843,3.30597791165104,1.25744324447493,0.262135604919973,0.402428411307539
"hsa-miR-105-3p",-0.55723785539151,3.87154300251205,1.25576990250176,0.262453311722308,0.402428411307539
"hsa-miR-548ae-5p",-1.08603099404712,2.20760733213615,1.24179727966677,0.265124955159232,0.405559313830275
"hsa-miR-6880-3p",1.05289042431282,1.95614023686051,1.23015553389891,0.267376792565599,0.407141882982445
"hsa-miR-1908-3p",1.05277459478784,1.96067608720712,1.22991310025369,0.267423938667041,0.407141882982445
"hsa-miR-16-5p",0.213686286264063,8.36228399292625,1.22552990718754,0.268278129289302,0.407479045429977
"hsa-miR-5009-5p",0.863399214506715,2.60046441283936,1.21274486056102,0.27078918983027,0.41032526647222
"hsa-miR-378c",0.171709457005534,10.3547182753596,1.2073424749024,0.271859077309118,0.410979450204394
"hsa-miR-324-3p",0.472607472179054,4.20163092196156,1.20174537123726,0.27297311369722,0.411562686101163
"hsa-miR-146a-3p",-0.704872544165597,2.94010452656321,1.19899305326178,0.273523027408848,0.411562686101163
"hsa-miR-137-5p",-1.08690065967383,2.20283124603082,1.17528863612749,0.278317226882503,0.417800219376066
"hsa-miR-210-3p",0.18408756131183,8.31992136961296,1.16836492515965,0.279737459212466,0.41838960892283
"hsa-miR-6818-3p",1.11697714461357,2.10454308002919,1.16704525035491,0.280009194791522,0.41838960892283
"hsa-miR-3689b-5p",0.192768809810051,7.89265253217413,1.15112428895944,0.283313920216714,0.422347603286027
"hsa-miR-301a-3p",-0.580594256748472,3.29371982063813,1.1428558510279,0.285049679642145,0.423953796049749
"hsa-miR-4684-3p",-1.0143282348707,2.46948299037957,1.13540743692886,0.286624854965313,0.42531430091627
"hsa-miR-18a-3p",0.237985827302889,6.40746514262326,1.12656856218459,0.288508456044797,0.427125162512297
"hsa-miR-1908-5p",0.407487889033223,4.29536444716224,1.11771617455425,0.290410752594147,0.428025565025903
"hsa-let-7a-5p",0.148863180527043,15.1253400789493,1.11755322218204,0.29044591912472,0.428025565025903
"hsa-miR-181a-2-3p",0.159717902606931,9.28051301516265,1.09718174511684,0.294885426371866,0.432043520349762
"hsa-miR-6747-3p",0.352343405994335,5.29758635998883,1.09662511029934,0.295007946288186,0.432043520349762
"hsa-miR-3150a-5p",0.553773331421485,3.42305506360571,1.09582117634512,0.295185013903564,0.432043520349762
"hsa-miR-873-5p",0.865220988119954,2.29075691312597,1.08304913519984,0.298016443723996,0.435198616231867
"hsa-miR-10527-5p",0.648099886166095,2.81489182877488,1.06373991761608,0.302363743768991,0.43983301078296
"hsa-miR-503-5p",-0.42875304489949,4.35241724966448,1.0628945277189,0.302555937541695,0.43983301078296
"hsa-miR-1262",0.381641769454322,4.59429266445824,1.05166914976141,0.30512297967194,0.442565763307949
"hsa-miR-597-3p",0.52138629419364,3.28014368105739,1.02085409866497,0.312316500194102,0.451981631741577
"hsa-miR-194-5p",-0.509445455827915,4.00146177009798,1.0127862966097,0.314236252710165,0.453379771602777
"hsa-miR-340-3p",-0.252995221788471,6.11238257751654,1.01088623609906,0.314690617867145,0.453379771602777
"hsa-miR-1306-3p",0.766598086303581,2.64543834053614,1.00203688831705,0.316818141968329,0.455426079079474
"hsa-miR-937-3p",0.360331012923253,5.38116144029285,0.989110092100868,0.319959973055007,0.458918090528785
"hsa-miR-450a-5p",0.579168103819845,3.29337287490397,0.97242346929084,0.324076515501292,0.463789502184071
"hsa-miR-548x-5p",-0.646046978776577,3.04812626174334,0.968209433813705,0.325127147242879,0.464261380985398
"hsa-miR-330-3p",0.191740940895064,8.54723945497978,0.964244295057563,0.32611984227963,0.464648624840889
"hsa-miR-3059-5p",-0.520657910571495,3.74378327294968,0.953475345815922,0.328836252788082,0.467484650762748
"hsa-miR-378i",-0.456628885882643,4.2012821914535,0.941743918447592,0.331829753655747,0.470701236463218
"hsa-miR-215-5p",-0.472318465816087,3.74053987010968,0.937361738045522,0.332957259959529,0.470815804514063
"hsa-miR-128-3p",-0.157835674280047,11.9391274542637,0.934930509932428,0.333585003974155,0.470815804514063
"hsa-miR-1910-5p",0.332365049787604,5.00798691041105,0.932925985948894,0.334103761898954,0.470815804514063
"hsa-miR-328-3p",-0.244320724648947,6.33885084799387,0.9281916721617,0.33533325919072,0.471202692955299
"hsa-miR-4498",0.856756894958929,2.290754236188,0.926240757265415,0.335841670910687,0.471202692955299
"hsa-miR-532-3p",0.481994307028479,3.50271637016012,0.915895043582481,0.338555113217062,0.473977158503887
"hsa-miR-548az-5p",-0.508885963005177,3.67153093689455,0.903532853901533,0.341836186159427,0.476706997453578
"hsa-miR-15a-5p",-0.459143287653161,3.8121662082855,0.902974252459218,0.341985454694958,0.476706997453578
"hsa-miR-3615",0.476313458114483,3.60071689036811,0.882381589664904,0.347550209955033,0.483417570650196
"hsa-miR-1292-5p",0.213257147904741,6.51042241653681,0.867764877841466,0.351574828966295,0.487961616065289
"hsa-miR-1306-5p",-0.482703925837317,3.54641598800088,0.86484008270578,0.352387763977503,0.488038107530134
"hsa-miR-548ad-5p",-1.01430154308725,2.15143048562683,0.855720333657406,0.354939103698079,0.490516701247989
"hsa-let-7e-5p",-0.277866898817343,6.08483079831842,0.844120009509191,0.358221098370153,0.493992264133572
"hsa-miR-138-5p",0.419446475788558,3.66600377137514,0.838433627599683,0.359845138675484,0.495171515613273
"hsa-miR-191-5p",-0.133900333099996,11.9218489068358,0.823294600038416,0.364218659848253,0.500121144866258
"hsa-miR-6733-5p",-0.79426578151087,2.37916406596061,0.798825472561224,0.371444766063837,0.508958360308747
"hsa-miR-548j-5p",-0.538735912905323,3.14915205858573,0.769611797636268,0.380337172623244,0.519689335129295
"hsa-miR-9901",-0.490931804533571,3.34725767807483,0.765396811533458,0.381644863397758,0.519689335129295
"hsa-miR-326",-0.805456078782136,2.37990756187839,0.763881355512698,0.382116585234108,0.519689335129295
"hsa-miR-9985",0.366382985370201,3.96303086563939,0.762637884329828,0.382504262191438,0.519689335129295
"hsa-miR-874-3p",-0.375881918585631,4.23240831117089,0.743736847760461,0.388466455757324,0.526678731595192
"hsa-miR-6716-3p",0.603846147205262,2.73203960007278,0.729804826835482,0.392946459021873,0.531633444559004
"hsa-miR-942-3p",-0.641678706598031,2.71459601103132,0.691260751214043,0.405735883289109,0.547785972407099
"hsa-miR-767-5p",-0.172017580712147,7.63817505284594,0.676274172224519,0.41087265952767,0.552525543639368
"hsa-miR-378g",-0.210371792408475,6.01024341902942,0.674150362414082,0.411608333278724,0.552525543639368
"hsa-miR-654-3p",-0.369689261133542,3.90114631905095,0.673539529863291,0.411820280973442,0.552525543639368
"hsa-miR-615-3p",0.384694880061962,6.77546799775563,0.667636704548581,0.413876774705006,0.554130234740174
"hsa-miR-1185-1-3p",-0.686196821559185,2.32360493481883,0.656572369259886,0.417772640207463,0.55708228660771
"hsa-miR-146b-5p",0.147303900275214,8.48747923667439,0.656462172172806,0.417811714955783,0.55708228660771
"hsa-miR-23b-3p",0.187905666852288,7.51696644163723,0.650800187644145,0.419826736822943,0.55861243494623
"hsa-miR-3155a",-0.671591363793951,2.54129899332386,0.64054804374706,0.423512412258803,0.562354625762204
"hsa-miR-411-5p",-0.437814555172294,3.60520446630215,0.633906253445365,0.425926084376179,0.564395881354443
"hsa-miR-548b-5p",-0.797342908064967,2.38202058696164,0.618778484710294,0.431501571131419,0.570609880510541
"hsa-miR-10b-5p",0.271013734568434,5.19576398531161,0.609995121534665,0.434789646976401,0.573779780026234
"hsa-miR-7114-5p",0.623940780270845,2.2249133269559,0.591430863895768,0.441866345329341,0.581926229840686
"hsa-miR-106b-3p",0.127857448370519,11.1401818400575,0.579512875729129,0.446503321451255,0.586832936764507
"hsa-miR-548n",-0.61818889103176,2.71354017875485,0.57642696356877,0.44771625501323,0.587228652196579
"hsa-miR-20a-3p",-0.57670212477085,2.70523073627116,0.563381290936629,0.452901068234303,0.589609005925708
"hsa-miR-361-3p",0.131912783282625,10.6665745484933,0.562652449732784,0.453193500138442,0.589609005925708
"hsa-miR-30a-3p",-0.105487748838142,12.2905647798269,0.562230233391304,0.453363040815097,0.589609005925708
"hsa-miR-6770-3p",-0.865836945368592,2.1413201125523,0.56167428972487,0.453586431354904,0.589609005925708
"hsa-miR-19b-3p",-0.213129533733475,6.66374513155207,0.557935792892391,0.455093140604759,0.589609005925708
"hsa-miR-140-5p",0.166366133092178,6.84166629590115,0.557775513823799,0.455157912878436,0.589609005925708
"hsa-miR-1343-3p",0.332200175624472,4.01092123048043,0.555843354054516,0.455939883464289,0.589609005925708
"hsa-miR-330-5p",-0.243378642070195,5.21835775799005,0.533443430641643,0.465162756623369,0.600330291113126
