"","logFC","logCPM","LR","PValue","FDR"
"hsa-miR-26b-5p",-1.10598766978443,10.4318522359056,43.7203401798974,3.7881417149484e-11,4.43556957168503e-10
"hsa-miR-4485-3p",1.52259706894029,7.64865423986876,43.1320879115556,5.11661840893432e-11,5.88411117027447e-10
"hsa-miR-139-5p",1.54827567512318,6.31158049331527,42.0092434784335,9.0842980942462e-11,1.02636631099904e-09
"hsa-miR-148b-3p",-0.936021220587823,11.3919115262585,40.7231737728295,1.75394792347201e-10,1.94748700468271e-09
"hsa-miR-10395-5p",-4.223710044857,4.2515273754446,39.2866481166444,3.6593509355217e-10,3.99427458046776e-09
"hsa-miR-200b-3p",-0.890823162032144,12.6540345275113,39.1581758511064,3.90823229590115e-10,4.19483599760056e-09
"hsa-miR-1180-3p",0.983177206165904,10.2531019868177,38.3293387840897,5.97574364591185e-10,6.30881788191349e-09
"hsa-miR-374b-3p",-1.89362293796658,5.81019236855312,37.0604586003054,1.14522668754865e-09,1.18955804319569e-08
"hsa-miR-19a-3p",-1.19311572747473,7.54963162153098,36.8563817252096,1.27159180166797e-09,1.29984939726059e-08
"hsa-miR-3605-5p",3.2493581944715,3.55131146075079,36.812355357162,1.30063363805845e-09,1.30876259829632e-08
"hsa-miR-150-5p",6.94325213719059,4.28057552046259,36.6205697372211,1.43509359494502e-09,1.42184657714553e-08
"hsa-miR-935",1.57301168430156,7.12405722238773,36.4647929696369,1.5544885957643e-09,1.51680402374578e-08
"hsa-miR-5787",6.13542538420675,2.49039927924955,34.6349080070828,3.97709997220261e-09,3.82276474940072e-08
"hsa-miR-29b-1-5p",-1.71126515347028,6.15291886467242,32.9526858333692,9.44292015736137e-09,8.94300085491282e-08
"hsa-miR-455-5p",-0.881727658934806,10.5303081538507,32.8564571578586,9.92209509150205e-09,9.26062208540191e-08
"hsa-miR-663a",-6.86144386209185,3.70672604769655,32.6504549969733,1.10313589865936e-08,1.01488502676661e-07
"hsa-miR-27b-5p",-1.95690781536846,5.25626091297537,30.9505488846334,2.64687215601565e-08,2.40082488517476e-07
"hsa-miR-130b-5p",-1.45220835159029,8.49932960185324,30.6827715736977,3.03851006249098e-08,2.7177784447836e-07
"hsa-miR-5585-3p",1.36556976269964,7.91239694934748,30.394792024357,3.5247319791459e-08,3.10948958160269e-07
"hsa-miR-574-5p",1.3860585674989,6.35950812782053,30.0398125655878,4.23266328057556e-08,3.66228657689635e-07
"hsa-miR-671-3p",-0.991979541762058,8.3186112489667,30.0250153542582,4.26508529918053e-08,3.66228657689635e-07
"hsa-miR-340-5p",-1.07750244708356,8.4007849262001,29.5815085164177,5.36139823222494e-08,4.54307955467482e-07
"hsa-miR-15b-5p",-1.21525876613341,6.68847887460624,29.5415687423307,5.47302113964743e-08,4.57743586225058e-07
"hsa-miR-27a-5p",-1.1745798455601,10.741320515201,28.9565060115506,7.40217797340803e-08,6.11154181394202e-07
"hsa-miR-484",-0.897956866681863,9.21709354169537,28.0971067507221,1.15378217199571e-07,9.40551542740805e-07
"hsa-miR-486-5p",3.59297122504513,3.0506866653047,27.5823692155833,1.50544759277427e-07,1.21188531218329e-06
"hsa-miR-1257",-6.41647807016251,3.36843908415807,27.2622406754304,1.77646912254899e-07,1.41240261101426e-06
"hsa-miR-22-3p",0.841003620110967,10.1228653192237,26.3021687786884,2.91960632952634e-07,2.29295911733532e-06
"hsa-miR-6089",4.37662937040217,2.42369656856026,26.0588321382902,3.31170433284233e-07,2.56956336186803e-06
"hsa-miR-3168",3.50899304090481,3.41739536443358,25.8347253028963,3.71936399514745e-07,2.85151239627971e-06
"hsa-miR-500a-3p",-1.32591211158095,6.60070219797531,25.534892077175,4.34454596242384e-07,3.29163247035406e-06
"hsa-miR-182-5p",-0.79315631218383,11.6228345876317,24.9087990574488,6.01074535690465e-07,4.50106977889139e-06
"hsa-miR-139-3p",2.42635377094493,3.88581175532837,24.8658216051329,6.14625183132611e-07,4.5496392866368e-06
"hsa-miR-30a-5p",-0.720218722287847,14.6021396959565,24.2325059784639,8.53790570168266e-07,6.24819462714049e-06
"hsa-miR-454-3p",-1.27321797885372,6.44298922688456,23.2873323414323,1.39515873307008e-06,1.00953058887318e-05
"hsa-let-7f-5p",-0.807819528208809,12.3886151771345,22.9024601114167,1.70433582544313e-06,1.21954696842819e-05
"hsa-miR-320c",1.34832620141988,5.726811081012,22.7574999640716,1.83785470476722e-06,1.30063563721988e-05
"hsa-miR-128-1-5p",-1.7242978319926,5.08100673084654,22.38268060846,2.23379344701333e-06,1.56365541290933e-05
"hsa-miR-4463",2.97834127274166,3.63687111256126,22.1572680434251,2.51203162205281e-06,1.7395143705398e-05
"hsa-miR-10400-5p",3.43242831603235,2.67658746693482,21.985031036215,2.74785237113487e-06,1.88257119894772e-05
"hsa-miR-10525-3p",-3.93037221149514,3.33972663343857,21.9236004874556,2.83723109429459e-06,1.92334402602707e-05
"hsa-miR-1307-5p",-1.62424775757501,5.55806493559562,21.3140620818447,3.8986113943844e-06,2.60088238864686e-05
"hsa-miR-573",-6.09685969752492,3.14022827012272,21.3048074903787,3.91747813196809e-06,2.60088238864686e-05
"hsa-miR-16-1-3p",-6.1033661054703,3.14148042079081,21.16649479134,4.2106157418621e-06,2.76697605893795e-05
"hsa-miR-4485-5p",2.53369213234818,3.07137631230917,21.095527595344,4.36946744877766e-06,2.84236064344728e-05
"hsa-miR-381-3p",-1.12156593532996,6.49415151934968,20.7547961985816,5.22006768125268e-06,3.36172358672673e-05
"hsa-miR-744-5p",0.710962733688726,9.25805780373118,20.5003623016079,5.96199652800078e-06,3.80151065745792e-05
"hsa-miR-107",-0.958630336121465,6.98994670383677,20.4478456784199,6.12784940106268e-06,3.86895589635722e-05
"hsa-miR-3141",6.26450731194658,2.49579244589981,20.2923480605511,6.64658712923834e-06,4.15573020507718e-05
